Filepath	Title	Performers
./2014/20140206_Sarasota/T16.WAV	20140206_SarasotaFL_Rehearsal	Michael Feinstein
./2014/20140206_Sarasota/T17.WAV	20140206_SarasotaFL_act 1	Michael Feinstein
./2014/20140206_Sarasota/T18.WAV	20140206_SarasotaFL_act 2 Part 1	Michael Feinstein
./2014/20140206_Sarasota/T19.WAV	20140206_SarasotaFL_act 2 part 2	Michael Feinstein
./2014/20140207_WPB/T20.WAV	20140207_WestPalmBeachFL_act 1	Michael Feinstein
./2014/20140207_WPB/T21.WAV	20140207_WestPalmBeachFL_act 2	Michael Feinstein
./2014/20140208_Princeton/T22.WAV	20140208_PrincetonNJ_Rehearsal	Michael Feinstein
./2014/20140208_Princeton/T23.WAV	20140208_PrincetonNJ_Rehearsal	Michael Feinstein
./2014/20140208_Princeton/T24.WAV	20140208_PrincetonNJ_ Rehearsal	Michael Feinstein
./2014/20140208_Princeton/T25.WAV	20140208_PrincetonNJ_Rehearsal	Michael Feinstein
./2014/20140208_Princeton/T26.WAV	20140208_PrincetonNJ_ Rehearsal	Michael Feinstein
./2014/20140208_Princeton/T27.WAV	20140208_PrincetonNJ_act 1	Michael Feinstein
./2014/20140208_Princeton/T28.WAV	20140208_PrincetonNJ_ act 2	Michael Feinstein
./2014/20140209_Naples/T29.WAV	20140209_NaplesFL_rehearsal	Michael Feinstein
./2014/20140209_Naples/T30.WAV	20140209_NaplesFL_Rehearsal	Michael Feinstein
./2014/20140209_Naples/T31.WAV	20140209_NaplesFL_ Act 1	Michael Feinstein
./2014/20140209_Naples/T32.WAV	20140209_NaplesFL_Act 2	Michael Feinstein
./2014/20140215_LousivilleSYM/T35.WAV	20140215_LouisvilleKY_Rehearsal1	Michael Feinstein
./2014/20140215_LousivilleSYM/T36.WAV	20140215_LouisvilleKY_Rehearsal2	Michael Feinstein
./2014/20140215_LousivilleSYM/T37.WAV	20140215_LouisvilleKY_Rehearsal3	Michael Feinstein
./2014/20140215_LousivilleSYM/T38.WAV	20140215_LouisvilleKY_Rehearsal4	Michael Feinstein
./2014/20140215_LousivilleSYM/T39.WAV	20140215_LouisvilleKY_Rehearsal5	Michael Feinstein
./2014/20140215_LousivilleSYM/T40.WAV	20140215_LousivilleKY_symphony_Act1	Michael Feinstein
./2014/20140215_LousivilleSYM/T41.WAV	20140215_LousivilleKY_symphony_Act2	Michael Feinstein
./2014/20140216_CarmelBB/T42.WAV	20140216_CarmelIN_rehearsal1	Michael Feinstein
./2014/20140216_CarmelBB/T43.WAV	20140216_CarmelIN_rehearsal2	Michael Feinstein
./2014/20140216_CarmelBB/T44.WAV	20140216_CarmelIN_rehearsal3	Michael Feinstein
./2014/20140216_CarmelBB/T45.WAV	20140216_CarmelIN_Big Band_Act 1	Michael Feinstein
./2014/20140216_CarmelBB/T46.WAV	20140216_CarmelIN_Big Band_Act 2	Michael Feinstein
